	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
	wbase	wbasem	wmat	wmatm	woth	wothm	wprej	wprejm	bbase	bbasem	bmat	bmatm	both	bothm	bprej	bprejm	obase	obasem	omat	omatm	ooth	oothm	oprej	oprejm
VARIABLES	t_warmer	y1	t_warmer	y1	t_warmer	y1	t_warmer	y1	t_best	y1	t_best	y1	t_best	y1	t_best	y1	t_over_c	y1	t_over_c	y1	t_over_c	y1	t_over_c	y1
																								
2.female	-0.187		-0.336		-0.293		-0.188		-0.369		-0.491		-0.379		-0.273		-0.417		-0.640		-0.928		-0.276	
	(0.427)		(0.374)		(0.352)		(0.380)		(0.290)		(0.316)		(0.332)		(0.321)		(0.434)		(0.515)		(0.594)		(0.503)	
1.age_cohort	0.935		1.245		1.723		1.519		-0.999		-1.105		-0.615		-0.895		-0.307		-0.218		0.512		0.453	
	(0.604)		(0.538)		(0.509)		(0.532)		(0.425)		(0.466)		(0.513)		(0.484)		(0.680)		(0.834)		(1.003)		(1.031)	
2.age_cohort	0.449		0.419		0.664		0.553		-0.780		-0.885		-0.670		-0.792		0.223		0.0762		0.576		0.714	
	(0.436)		(0.382)		(0.359)		(0.385)		(0.294)		(0.327)		(0.353)		(0.338)		(0.457)		(0.558)		(0.661)		(0.586)	
3.age_cohort	0.584		0.476		0.502		0.509		-0.428		-0.647		-0.389		-0.411		0.358		0.127		-0.240		0.575	
	(0.453)		(0.396)		(0.372)		(0.401)		(0.306)		(0.341)		(0.362)		(0.355)		(0.460)		(0.581)		(0.656)		(0.595)	
5.age_cohort	0.646		0.443		0.588		0.351		0.0745		-0.0257		0.134		-0.0911		0.0923		-0.00853		0.238		0.0172	
	(0.400)		(0.352)		(0.331)		(0.353)		(0.272)		(0.305)		(0.321)		(0.308)		(0.397)		(0.487)		(0.569)		(0.485)	
6.age_cohort	0.275		0.251		0.268		-0.132		-0.00786		-0.0817		-0.110		-0.337		0.167		0.103		0.307		-0.0259	
	(0.444)		(0.396)		(0.373)		(0.395)		(0.304)		(0.349)		(0.386)		(0.355)		(0.449)		(0.556)		(0.665)		(0.560)	
7.age_cohort	-0.219		0.341		0.463		-0.363		-0.272		-0.0870		-0.0812		-0.296		-0.395		0.0357		0.588		-0.102	
	(0.556)		(0.496)		(0.466)		(0.499)		(0.378)		(0.425)		(0.490)		(0.444)		(0.552)		(0.692)		(0.867)		(0.692)	
1b.female#1o.age_cohort	0		0		0		0		0		0		0		0		0		0		0		0	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
1b.female#2o.age_cohort	0		0		0		0		0		0		0		0		0		0		0		0	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
1b.female#3o.age_cohort	0		0		0		0		0		0		0		0		0		0		0		0	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
1b.female#4b.age_cohort	0		0		0		0		0		0		0		0		0		0		0		0	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
1b.female#5o.age_cohort	0		0		0		0		0		0		0		0		0		0		0		0	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
1b.female#6o.age_cohort	0		0		0		0		0		0		0		0		0		0		0		0	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
1b.female#7o.age_cohort	0		0		0		0		0		0		0		0		0		0		0		0	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
2.female#1.age_cohort	-0.712		-0.973		-0.770		-0.114		0.947		1.215		1.346		1.749		1.300		1.020		1.708		1.863	
	(0.861)		(0.754)		(0.708)		(0.755)		(0.602)		(0.632)		(0.692)		(0.658)		(0.920)		(1.080)		(1.257)		(1.272)	
2.female#2.age_cohort	-0.205		0.0241		-0.0306		0.0343		0.191		0.417		0.348		0.322		-0.158		-0.216		-0.436		-0.200	
	(0.576)		(0.504)		(0.473)		(0.507)		(0.397)		(0.431)		(0.466)		(0.447)		(0.620)		(0.729)		(0.850)		(0.762)	
2.female#3.age_cohort	-0.121		-0.332		-0.148		-0.0707		0.254		0.383		0.321		0.287		-0.465		-0.369		0.533		-0.590	
	(0.625)		(0.546)		(0.512)		(0.550)		(0.430)		(0.468)		(0.497)		(0.485)		(0.647)		(0.773)		(0.879)		(0.812)	
2o.female#4b.age_cohort	0		0		0		0		0		0		0		0		0		0		0		0	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
2.female#5.age_cohort	-0.974		-0.802		-0.773		-0.556		-0.0122		-0.0298		-0.0814		0.0915		0.0751		-0.0898		-0.0721		0.229	
	(0.562)		(0.491)		(0.461)		(0.495)		(0.387)		(0.419)		(0.442)		(0.428)		(0.569)		(0.670)		(0.770)		(0.666)	
2.female#6.age_cohort	-0.914		-0.807		-0.536		-0.256		0.0222		-0.00702		0.0416		0.302		-0.200		-0.502		-0.0931		0.373	
	(0.618)		(0.542)		(0.509)		(0.547)		(0.430)		(0.475)		(0.517)		(0.484)		(0.629)		(0.756)		(0.882)		(0.751)	
2.female#7.age_cohort	0.0756		-0.148		-0.0747		0.445		0.579		0.581		0.462		0.664		0.616		0.450		-0.118		0.518	
	(0.802)		(0.703)		(0.660)		(0.719)		(0.560)		(0.607)		(0.687)		(0.626)		(0.833)		(0.989)		(1.265)		(0.977)	
1.income	0.0561		-0.429		-0.294		-0.219		-0.539		-0.923		-0.520		-1.043		-0.711		-0.962		-0.402		-1.192	
	(0.899)		(0.792)		(0.742)		(0.788)		(0.670)		(0.694)		(0.721)		(0.749)		(0.960)		(0.968)		(1.047)		(1.125)	
2.income	-0.916		-0.836		-1.120		-1.123		-0.933		-0.938		-1.298		-0.991		-0.898		-0.183		-0.864		-0.914	
	(0.604)		(0.531)		(0.499)		(0.538)		(0.453)		(0.497)		(0.521)		(0.495)		(0.713)		(0.770)		(0.862)		(0.792)	
3.income	0.0370		-0.410		-0.314		-0.0839		-0.00863		-0.317		-0.0338		-0.0258		-0.517		-1.111		-0.417		-0.572	
	(0.511)		(0.448)		(0.420)		(0.452)		(0.357)		(0.379)		(0.402)		(0.394)		(0.546)		(0.635)		(0.692)		(0.611)	
4.income	0.757		0.496		0.153		0.405		0.193		0.118		-0.114		0.113		0.875		1.092		0.800		0.512	
	(0.490)		(0.431)		(0.405)		(0.434)		(0.346)		(0.365)		(0.395)		(0.383)		(0.528)		(0.601)		(0.753)		(0.639)	
5.income	0.177		-0.0256		-0.106		0.133		0.140		0.0129		0.0451		0.135		0.333		-0.0328		-0.215		-0.122	
	(0.463)		(0.405)		(0.380)		(0.409)		(0.319)		(0.337)		(0.366)		(0.353)		(0.473)		(0.538)		(0.600)		(0.565)	
6.income	-0.166		-0.213		-0.464		-0.162		0.187		0.114		-0.0341		0.138		0.270		0.00511		0.0140		0.481	
	(0.443)		(0.389)		(0.365)		(0.392)		(0.303)		(0.320)		(0.346)		(0.335)		(0.465)		(0.508)		(0.592)		(0.539)	
7.income	-0.119		-0.314		-0.475		0.0511		-0.284		-0.382		-0.627		-0.362		0.0139		-0.165		0.126		0.373	
	(0.477)		(0.418)		(0.392)		(0.420)		(0.331)		(0.365)		(0.392)		(0.383)		(0.505)		(0.577)		(0.655)		(0.626)	
8.income	0.196		0.229		0.179		0.331		0.0306		0.0670		0.0532		0.0912		-0.504		-0.562		-0.137		-0.527	
	(0.499)		(0.437)		(0.410)		(0.441)		(0.336)		(0.356)		(0.394)		(0.384)		(0.511)		(0.559)		(0.643)		(0.603)	
9.income	0.113		0.112		0.101		0.0523		-0.154		-0.197		-0.290		-0.246		0.142		-0.106		0.160		0.246	
	(0.386)		(0.337)		(0.317)		(0.340)		(0.269)		(0.289)		(0.315)		(0.303)		(0.411)		(0.473)		(0.552)		(0.512)	
11.income	-0.317		-0.104		-0.162		-0.171		-0.155		-0.0962		-0.130		-0.143		-0.219		-0.354		-0.183		-0.321	
	(0.378)		(0.334)		(0.313)		(0.335)		(0.265)		(0.290)		(0.318)		(0.300)		(0.410)		(0.473)		(0.538)		(0.498)	
12.income	0.00768		-0.309		-0.257		-0.0372		0.173		-0.0206		0.0360		0.0966		0.0130		-0.523		-0.759		-0.109	
	(0.458)		(0.400)		(0.375)		(0.406)		(0.318)		(0.350)		(0.380)		(0.366)		(0.471)		(0.571)		(0.651)		(0.592)	
13.income	-0.384		-0.190		-0.152		-0.143		-0.0842		-0.0917		0.00567		0.0723		-0.346		-0.626		-0.687		-0.117	
	(0.396)		(0.347)		(0.325)		(0.351)		(0.274)		(0.295)		(0.319)		(0.314)		(0.418)		(0.492)		(0.570)		(0.522)	
14.income	-0.482		-0.362		-0.268		-0.260		-0.186		-0.186		-0.238		0.0513		-0.479		-0.561		-0.403		-0.129	
	(0.407)		(0.357)		(0.335)		(0.359)		(0.283)		(0.313)		(0.338)		(0.331)		(0.422)		(0.506)		(0.571)		(0.533)	
15.income	-0.277		0.0190		-0.105		-0.335		0.183		0.166		0.162		0.0555		0.254		0.411		0.405		0.423	
	(0.461)		(0.404)		(0.379)		(0.406)		(0.322)		(0.353)		(0.375)		(0.368)		(0.496)		(0.630)		(0.696)		(0.645)	
16.income	0.404		0.123		0.174		0.172		0.361		0.122		0.204		0.0353		0.656		0.231		0.0758		0.439	
	(0.566)		(0.495)		(0.464)		(0.498)		(0.392)		(0.440)		(0.467)		(0.459)		(0.596)		(0.764)		(0.922)		(0.952)	
17.income	-0.404		-0.340		-0.232		-0.102		0.0154		0.00953		0.0577		0.262		-0.0749		-0.207		-0.0885		0.430	
	(0.725)		(0.633)		(0.594)		(0.636)		(0.484)		(0.542)		(0.559)		(0.524)		(0.709)		(0.805)		(0.880)		(0.791)	
18.income	-0.525		-0.442		-0.290		-0.136		0.379		0.392		0.611		0.440		0.0810		0.217		0.515		0.197	
	(0.574)		(0.507)		(0.476)		(0.507)		(0.390)		(0.442)		(0.501)		(0.455)		(0.591)		(0.773)		(0.862)		(0.802)	
no_ba	1.508	1.508	0.780	0.780	0.329	0.329	0.420	0.420	0.550	0.0710	0.267	0.0299	0.00414	0.000397	-0.00104	-0.000109	1.089	0.0836	0.600	0.0352	-0.0249	-0.00112	0.228	0.0122
	(0.192)	(0.192)	(0.173)	(0.173)	(0.165)	(0.165)	(0.176)	(0.176)	(0.136)	(0.0174)	(0.154)	(0.0172)	(0.173)	(0.0166)	(0.160)	(0.0168)	(0.204)	(0.0160)	(0.242)	(0.0141)	(0.289)	(0.0131)	(0.256)	(0.0137)
2.religiosity	0.105		0.0298		0.131		-0.289		-0.0331		0.0741		0.171		-0.142		0.336		0.445		0.387		-0.107	
	(0.276)		(0.242)		(0.227)		(0.244)		(0.204)		(0.221)		(0.244)		(0.230)		(0.288)		(0.340)		(0.405)		(0.375)	
3.religiosity	0.237		0.112		0.214		-0.130		0.338		0.370		0.675		0.187		0.0724		0.0666		0.343		-0.362	
	(0.294)		(0.257)		(0.242)		(0.260)		(0.215)		(0.234)		(0.253)		(0.246)		(0.309)		(0.372)		(0.422)		(0.396)	
4.religiosity	0.501		0.266		0.116		-0.210		0.390		0.430		0.372		0.0400		0.246		0.372		0.441		-0.339	
	(0.324)		(0.284)		(0.268)		(0.289)		(0.225)		(0.244)		(0.267)		(0.254)		(0.331)		(0.381)		(0.453)		(0.401)	
5.religiosity	0.472		0.180		0.0494		-0.266		0.352		0.429		0.533		0.174		0.134		0.234		0.556		-0.503	
	(0.431)		(0.378)		(0.355)		(0.381)		(0.305)		(0.337)		(0.366)		(0.349)		(0.457)		(0.529)		(0.574)		(0.534)	
6.religiosity	0.107		-0.0683		0.125		-0.440		-0.0638		-0.171		0.00274		-0.470		0.0907		0.348		0.943		-0.183	
	(0.415)		(0.364)		(0.342)		(0.369)		(0.289)		(0.315)		(0.345)		(0.330)		(0.466)		(0.569)		(0.642)		(0.560)	
7.religiosity	0.691		0.374		0.546		0.154		0.449		0.449		0.764		0.201		0.450		0.488		0.932		0.243	
	(0.355)		(0.313)		(0.294)		(0.317)		(0.245)		(0.270)		(0.293)		(0.280)		(0.364)		(0.442)		(0.493)		(0.461)	
8.religiosity	0.675		0.168		0.367		-0.167		0.217		0.0682		0.274		-0.192		0.875		0.778		1.128		0.278	
	(0.307)		(0.270)		(0.256)		(0.277)		(0.206)		(0.225)		(0.249)		(0.237)		(0.319)		(0.382)		(0.450)		(0.396)	
9.religiosity	0.762		0.485		0.563		0.130		0.883		0.832		1.157		0.697		0.537		0.701		1.053		0.351	
	(0.431)		(0.376)		(0.353)		(0.386)		(0.298)		(0.328)		(0.365)		(0.359)		(0.475)		(0.625)		(0.754)		(0.648)	
